Rank,Ticker,Hybrid_VPA_Score,Analysis
38,NT2,714.31,Panic: 1541, Crisis: 0, Momentum: 164, Volume: 478, VPA: 1025, MCap: 0.50x2
39,DAH,691.32,Panic: 1012, Crisis: 1, Momentum: -34, Volume: 371, VPA: 93, MCap: 0.75x2
40,LCG,588.28,Panic: 843, Crisis: 0, Momentum: -34, Volume: 243, VPA: 821, MCap: 0.75x2
41,SCI,587.19,Panic: 843, Crisis: 1, Momentum: 46, Volume: 961, VPA: -27, MCap: 0.75x2
42,SSI,585.08,Panic: 713, Crisis: -0, Momentum: -60, Volume: 81, VPA: 304, MCap: 0.90x2
43,VDS,575.56,Panic: 855, Crisis: -0, Momentum: -55, Volume: 0, VPA: -23, MCap: 0.75x2
44,TCI,573.95,Panic: 837, Crisis: -0, Momentum: -71, Volume: 220, VPA: 343, MCap: 0.75x2
45,ACL,573.38,Panic: 804, Crisis: 1, Momentum: -17, Volume: 331, VPA: 1331, MCap: 0.75x2
46,HAG,559.45,Panic: 1225, Crisis: 0, Momentum: -22, Volume: 278, VPA: 411, MCap: 0.50x2
47,SHS,551.56,Panic: 1213, Crisis: -1, Momentum: -46, Volume: 243, VPA: 262, MCap: 0.50x2
48,MSN,539.83,Panic: 596, Crisis: -0, Momentum: -17, Volume: 424, VPA: 857, MCap: 0.95x2
49,HOM,523.07,Panic: -11, Crisis: 1, Momentum: 153, Volume: 4331, VPA: 23813, MCap: 0.75x2
50,BMI,502.82,Panic: 733, Crisis: 1, Momentum: 25, Volume: 118, VPA: 275, MCap: 0.75x2
51,MSR,494.71,Panic: 500, Crisis: -2, Momentum: -25, Volume: 1025, VPA: 2988, MCap: 0.90x2
52,DSC,494.04,Panic: 717, Crisis: -0, Momentum: -47, Volume: 144, VPA: 444, MCap: 0.75x2
53,CIG,465.05,Panic: 670, Crisis: 1, Momentum: 7, Volume: 457, VPA: 209, MCap: 0.75x2
54,VEA,458.77,Panic: 566, Crisis: 1, Momentum: -1, Volume: 27, VPA: 0, MCap: 0.90x2
55,MPC,433.30,Panic: 921, Crisis: 1, Momentum: 556, Volume: 407, VPA: 557, MCap: 0.50x2
56,HAH,428.50,Panic: 473, Crisis: 0, Momentum: 9917, Volume: 1101, VPA: 6234, MCap: 0.50x2
57,HHV,422.88,Panic: 916, Crisis: -0, Momentum: -24, Volume: 222, VPA: 669, MCap: 0.50x2
58,DTD,414.33,Panic: 561, Crisis: -1, Momentum: -34, Volume: 450, VPA: 1493, MCap: 0.75x2
59,HCD,391.07,Panic: 517, Crisis: 0, Momentum: -13, Volume: 706, VPA: 1549, MCap: 0.75x2
60,S99,353.38,Panic: 500, Crisis: 0, Momentum: -0, Volume: 801, VPA: 46, MCap: 0.75x2
61,NDN,349.32,Panic: 481, Crisis: -1, Momentum: -29, Volume: 331, VPA: 1014, MCap: 0.75x2
62,NRC,344.62,Panic: 464, Crisis: -0, Momentum: 169, Volume: 595, VPA: 919, MCap: 0.75x2
63,HDG,338.63,Panic: 692, Crisis: -1, Momentum: -21, Volume: 539, VPA: 1658, MCap: 0.50x2
64,VIB,316.69,Panic: 369, Crisis: -0, Momentum: -16, Volume: 0, VPA: 56, MCap: 0.95x2
65,TTN,301.26,Panic: 228, Crisis: 1, Momentum: 2860, Volume: 905, VPA: 4099, MCap: 0.75x2
66,DDV,293.02,Panic: 264, Crisis: 1, Momentum: 54, Volume: 1152, VPA: 4927, MCap: 0.75x2
67,VSC,289.16,Panic: 399, Crisis: -1, Momentum: -32, Volume: 158, VPA: 929, MCap: 0.75x2
68,OCB,288.25,Panic: 419, Crisis: -0, Momentum: 15, Volume: 138, VPA: 127, MCap: 0.75x2
69,MIG,279.54,Panic: 289, Crisis: 0, Momentum: 215, Volume: 845, VPA: 3444, MCap: 0.75x2
70,BTN,274.53,Panic: 105, Crisis: 2, Momentum: -9, Volume: 1953, VPA: 8915, MCap: 0.75x2
71,DXG,262.09,Panic: 327, Crisis: -0, Momentum: 41, Volume: 374, VPA: 1782, MCap: 0.75x2
72,BIC,231.46,Panic: 504, Crisis: 0, Momentum: -40, Volume: 0, VPA: 397, MCap: 0.50x2
73,BWE,209.44,Panic: 298, Crisis: 1, Momentum: -4, Volume: 119, VPA: 319, MCap: 0.75x2
74,HVN,208.46,Panic: 227, Crisis: 0, Momentum: -21, Volume: 362, VPA: 248, MCap: 0.95x2
75,LIG,200.04,Panic: 252, Crisis: -0, Momentum: -55, Volume: 322, VPA: 1347, MCap: 0.75x2
76,NCT,197.06,Panic: 158, Crisis: 1, Momentum: 515, Volume: 640, VPA: 3673, MCap: 0.75x2
77,SBT,194.04,Panic: 247, Crisis: 1, Momentum: 64, Volume: 238, VPA: 1146, MCap: 0.75x2
78,FCN,157.61,Panic: 218, Crisis: 0, Momentum: -39, Volume: 128, VPA: 478, MCap: 0.75x2
79,DIG,157.40,Panic: 197, Crisis: -1, Momentum: 213, Volume: 257, VPA: 816, MCap: 0.75x2
80,NTC,146.19,Panic: 206, Crisis: 0, Momentum: 34, Volume: 95, VPA: 237, MCap: 0.75x2
81,HUT,145.12,Panic: 301, Crisis: -1, Momentum: 6, Volume: 312, VPA: 471, MCap: 0.50x2
82,DHT,139.67,Panic: 123, Crisis: 1, Momentum: 218, Volume: 515, VPA: 2284, MCap: 0.75x2
83,TCH,112.20,Panic: 100, Crisis: -1, Momentum: -24, Volume: 670, VPA: 1729, MCap: 0.75x2
84,KSB,110.65,Panic: 160, Crisis: 0, Momentum: -21, Volume: 146, VPA: 15, MCap: 0.75x2
85,KSV,110.50,Panic: -205, Crisis: 2, Momentum: 265, Volume: 2653, VPA: 10340, MCap: 0.75x2
86,EVE,107.34,Panic: 154, Crisis: 1, Momentum: -13, Volume: 55, VPA: 133, MCap: 0.75x2
87,TCL,102.85,Panic: 152, Crisis: 1, Momentum: 0, Volume: 0, VPA: 0, MCap: 0.75x2
88,LSS,89.73,Panic: 49, Crisis: 0, Momentum: -27, Volume: 642, VPA: 2392, MCap: 0.75x2
89,VHC,84.69,Panic: 181, Crisis: 0, Momentum: 42, Volume: 154, VPA: 58, MCap: 0.50x2
90,PET,77.02,Panic: 66, Crisis: -0, Momentum: -3, Volume: 409, VPA: 1332, MCap: 0.75x2
91,VCG,68.21,Panic: 147, Crisis: -0, Momentum: -26, Volume: 149, VPA: 47, MCap: 0.50x2
92,NKG,62.55,Panic: 130, Crisis: 0, Momentum: -37, Volume: 262, VPA: 98, MCap: 0.50x2
93,IPA,54.92,Panic: 116, Crisis: -1, Momentum: -59, Volume: 104, VPA: 158, MCap: 0.50x2
94,NHH,43.53,Panic: 58, Crisis: 1, Momentum: -16, Volume: 98, VPA: 167, MCap: 0.75x2
95,SCR,41.95,Panic: 16, Crisis: -0, Momentum: -30, Volume: 435, VPA: 1250, MCap: 0.75x2
96,MBS,38.71,Panic: 68, Crisis: -1, Momentum: -65, Volume: 184, VPA: 516, MCap: 0.50x2
97,GDT,37.19,Panic: 43, Crisis: 1, Momentum: -12, Volume: 187, VPA: 259, MCap: 0.75x2
98,NLG,27.33,Panic: -47, Crisis: -0, Momentum: 58, Volume: 628, VPA: 3182, MCap: 0.50x2
99,VLB,23.96,Panic: 48, Crisis: 0, Momentum: 6, Volume: 97, VPA: 68, MCap: 0.50x2
100,TVB,23.10,Panic: 32, Crisis: 0, Momentum: -55, Volume: 120, VPA: 1, MCap: 0.75x2
101,DCM,23.06,Panic: 3, Crisis: 0, Momentum: -12, Volume: 206, VPA: 711, MCap: 0.90x2
102,PPH,18.42,Panic: 22, Crisis: 1, Momentum: 5, Volume: 117, VPA: 55, MCap: 0.75x2
103,FRT,12.57,Panic: -138, Crisis: 0, Momentum: 739, Volume: 766, VPA: 4011, MCap: 0.90x2
104,HLD,7.94,Panic: 9, Crisis: 1, Momentum: -6, Volume: 0, VPA: 97, MCap: 0.75x2
105,MSH,1.25,Panic: -137, Crisis: 1, Momentum: 2043, Volume: 500, VPA: 2476, MCap: 0.50x2
106,CRV,0.00,Insufficient data
107,TCX,0.00,Insufficient data
108,DPR,-8.56,Panic: -37, Crisis: 0, Momentum: 29, Volume: 276, VPA: 325, MCap: 0.50x2
109,CTS,-10.44,Panic: -42, Crisis: -0, Momentum: -16, Volume: 393, VPA: 585, MCap: 0.75x2
110,G36,-22.15,Panic: -36, Crisis: -0, Momentum: -56, Volume: 41, VPA: 113, MCap: 0.75x2
111,CMG,-22.26,Panic: -70, Crisis: 1, Momentum: 276, Volume: 149, VPA: 320, MCap: 0.50x2
112,BID,-22.78,Panic: -26, Crisis: -0, Momentum: -31, Volume: 0, VPA: 65, MCap: 1.00x2
113,TNG,-24.72,Panic: -146, Crisis: 1, Momentum: 505, Volume: 534, VPA: 2232, MCap: 0.50x2
