stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
STB,Ngân hàng,7.55,STOCK,2025-07-07,25,DCDE
TCB,Ngân hàng,7.46,STOCK,2025-07-07,25,DCDE
VHM,Bất động sản,6.08,STOCK,2025-07-07,25,DCDE
MWG,Bán lẻ,6.04,STOCK,2025-07-07,25,DCDE
CTG,Ngân hàng,5.96,STOCK,2025-07-07,25,DCDE
MBB,Ngân hàng,4.38,STOCK,2025-07-07,25,DCDE
HPG,Vật liệu xây dựng,4.17,STOCK,2025-07-07,25,DCDE
FPT,Công nghệ và thông tin,3.06,STOCK,2025-07-07,25,DCDE
VPB,Ngân hàng,2.69,STOCK,2025-07-07,25,DCDE
EIB,Ngân hàng,2.4,STOCK,2025-07-07,25,DCDE
