stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
HPG,Vật liệu xây dựng,16.62,STOCK,2025-07-03,41,TBLF
MWG,Bán lẻ,11.55,STOCK,2025-07-03,41,TBLF
PNJ,Sản xuất Phụ trợ,10.14,STOCK,2025-07-03,41,TBLF
TCB,Ngân hàng,4.8,STOCK,2025-07-03,41,TBLF
VCB,Ngân hàng,4.64,STOCK,2025-07-03,41,TBLF
VPB,Ngân hàng,4.57,STOCK,2025-07-03,41,TBLF
TLG,Sản xuất Phụ trợ,4.49,STOCK,2025-07-03,41,TBLF
ACB,Ngân hàng,4.05,STOCK,2025-07-03,41,TBLF
VNM,Thực phẩm - Đồ uống,3.93,STOCK,2025-07-03,41,TBLF
FMC,Chế biến thủy sản,3.92,STOCK,2025-07-03,41,TBLF
