industry,net_asset_percent,short_name
Ngân hàng,11.48,PBIF
Thực phẩm - Đồ uống,7.32,PBIF
Xây dựng,3.61,PBIF
Vật liệu xây dựng,3.61,PBIF
Bất động sản,3.52,PBIF
Vận tải - Kho bãi,3.33,PBIF
Bán lẻ,3.09,PBIF
Công nghệ và thông tin,2.38,PBIF
Tiện ích,2.24,PBIF
Sản xuất Nhựa - Hóa chất,2.04,PBIF
Sản xuất Phụ trợ,0.84,PBIF
Khai khoáng,0.22,PBIF
