stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
FPT,Công nghệ và thông tin,11.43,STOCK,2025-07-04,49,VLGF
MWG,Bán lẻ,11.36,STOCK,2025-07-04,49,VLGF
ACB,Ngân hàng,10.15,STOCK,2025-07-04,49,VLGF
NLG,Bất động sản,6.93,STOCK,2025-07-04,49,VLGF
CTG,Ngân hàng,4.89,STOCK,2025-07-04,49,VLGF
MBB,Ngân hàng,4.82,STOCK,2025-07-04,49,VLGF
PNJ,Sản xuất Phụ trợ,4.68,STOCK,2025-07-04,49,VLGF
KDH,Bất động sản,4.52,STOCK,2025-07-04,49,VLGF
VCB,Ngân hàng,4.49,STOCK,2025-07-04,49,VLGF
VEA,"Sản xuất Thiết bị, máy móc",4.43,STOCK,2025-07-04,49,VLGF
