industry,net_asset_percent,short_name
Ngân hàng,36.13,MAFEQI
Bất động sản,10.72,MAFEQI
Vật liệu xây dựng,7.09,MAFEQI
Công nghệ và thông tin,6.24,MAFEQI
Vận tải - Kho bãi,5.11,MAFEQI
Chứng khoán,5.07,MAFEQI
Bán lẻ,4.74,MAFEQI
Thực phẩm - Đồ uống,4.05,MAFEQI
Thiết bị điện,3.31,MAFEQI
Tiện ích,2.97,MAFEQI
Xây dựng,2.79,MAFEQI
Bảo hiểm,2.04,MAFEQI
Khai khoáng,1.26,MAFEQI
Bán buôn,0.96,MAFEQI
