stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
NTC,Bất động sản,11.66,STOCK,2025-07-07,75,VCAMDF
VCG,Xây dựng,10.28,STOCK,2025-07-07,75,VCAMDF
HVN,Vận tải - Kho bãi,8.76,STOCK,2025-07-07,75,VCAMDF
NLG,Bất động sản,4.07,STOCK,2025-07-07,75,VCAMDF
NVL,Bất động sản,4.0,STOCK,2025-07-07,75,VCAMDF
PLC,Sản xuất Phụ trợ,3.89,STOCK,2025-07-07,75,VCAMDF
SSI,Chứng khoán,3.67,STOCK,2025-07-07,75,VCAMDF
GMD,Vận tải - Kho bãi,3.63,STOCK,2025-07-07,75,VCAMDF
CMG,Công nghệ và thông tin,3.41,STOCK,2025-07-07,75,VCAMDF
TCB,Ngân hàng,3.39,STOCK,2025-07-07,75,VCAMDF
