stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,15.02,STOCK,2025-07-07,23,VESAF
DGC,Sản xuất Nhựa - Hóa chất,9.68,STOCK,2025-07-07,23,VESAF
BVH,Bảo hiểm,6.33,STOCK,2025-07-07,23,VESAF
TCB,Ngân hàng,6.11,STOCK,2025-07-07,23,VESAF
MWG,Bán lẻ,4.56,STOCK,2025-07-07,23,VESAF
FPT,Công nghệ và thông tin,4.13,STOCK,2025-07-07,23,VESAF
CTG,Ngân hàng,4.08,STOCK,2025-07-07,23,VESAF
FOX,Công nghệ và thông tin,3.96,STOCK,2025-07-07,23,VESAF
VCI,Chứng khoán,3.88,STOCK,2025-07-07,23,VESAF
PVS,Khai khoáng,3.3,STOCK,2025-07-07,23,VESAF
