industry,net_asset_percent,short_name
Ngân hàng,34.45,DCDE
Bất động sản,13.28,DCDE
Bán lẻ,7.63,DCDE
Thực phẩm - Đồ uống,6.21,DCDE
Vật liệu xây dựng,5.06,DCDE
Sản xuất Nhựa - Hóa chất,4.74,DCDE
Công nghệ và thông tin,3.37,DCDE
Bán buôn,3.16,DCDE
Chứng khoán,2.47,DCDE
Thiết bị điện,2.28,DCDE
Xây dựng,2.23,DCDE
Sản xuất Phụ trợ,1.88,DCDE
Vận tải - Kho bãi,1.22,DCDE
Tiện ích,0.92,DCDE
"Sản xuất Thiết bị, máy móc",0.76,DCDE
Khai khoáng,0.53,DCDE
