stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,9.19,STOCK,2025-07-07,32,VCBF-BCF
FPT,Công nghệ và thông tin,8.04,STOCK,2025-07-07,32,VCBF-BCF
STB,Ngân hàng,6.92,STOCK,2025-07-07,32,VCBF-BCF
MWG,Bán lẻ,6.06,STOCK,2025-07-07,32,VCBF-BCF
CTG,Ngân hàng,5.2,STOCK,2025-07-07,32,VCBF-BCF
HPG,Vật liệu xây dựng,4.5,STOCK,2025-07-07,32,VCBF-BCF
PNJ,Sản xuất Phụ trợ,4.29,STOCK,2025-07-07,32,VCBF-BCF
BWE,Tiện ích,4.13,STOCK,2025-07-07,32,VCBF-BCF
TCB,Ngân hàng,4.06,STOCK,2025-07-07,32,VCBF-BCF
ACB,Ngân hàng,3.79,STOCK,2025-07-07,32,VCBF-BCF
