stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,5.36,STOCK,2025-07-08,66,PHVSF
TCB,Ngân hàng,4.78,STOCK,2025-07-08,66,PHVSF
ACB,Ngân hàng,4.49,STOCK,2025-07-08,66,PHVSF
STB,Ngân hàng,4.24,STOCK,2025-07-08,66,PHVSF
HPG,Vật liệu xây dựng,4.11,STOCK,2025-07-08,66,PHVSF
CTG,Ngân hàng,3.98,STOCK,2025-07-08,66,PHVSF
FPT,Công nghệ và thông tin,3.96,STOCK,2025-07-08,66,PHVSF
VPB,Ngân hàng,3.89,STOCK,2025-07-08,66,PHVSF
REE,Thiết bị điện,3.49,STOCK,2025-07-08,66,PHVSF
VCB,Ngân hàng,3.18,STOCK,2025-07-08,66,PHVSF
