stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
ACB,Ngân hàng,12.86,STOCK,2025-07-05,87,BMFF
TCB,Ngân hàng,10.01,STOCK,2025-07-05,87,BMFF
PNJ,Sản xuất Phụ trợ,5.02,STOCK,2025-07-05,87,BMFF
VIB,Ngân hàng,4.69,STOCK,2025-07-05,87,BMFF
VPB,Ngân hàng,4.6,STOCK,2025-07-05,87,BMFF
HPG,Vật liệu xây dựng,4.57,STOCK,2025-07-05,87,BMFF
QNS,Thực phẩm - Đồ uống,3.83,STOCK,2025-07-05,87,BMFF
VEA,"Sản xuất Thiết bị, máy móc",3.6,STOCK,2025-07-05,87,BMFF
PVT,Vận tải - Kho bãi,3.46,STOCK,2025-07-05,87,BMFF
IJC,Bất động sản,3.2,STOCK,2025-07-05,87,BMFF
