date,nav_per_unit,short_name
2022-11-08,10000.0,UVEEF
2022-11-11,9979.98,UVEEF
2022-11-18,10030.92,UVEEF
2022-11-21,10027.09,UVEEF
2022-11-22,9955.31,UVEEF
2022-11-23,9954.0,UVEEF
2022-11-24,9996.14,UVEEF
2022-11-25,9979.17,UVEEF
2022-11-28,10059.71,UVEEF
2022-11-29,10331.08,UVEEF
2022-11-30,10467.12,UVEEF
2022-12-01,10694.19,UVEEF
2022-12-02,10634.34,UVEEF
2022-12-05,11032.84,UVEEF
2022-12-06,11147.01,UVEEF
2022-12-07,10732.94,UVEEF
2022-12-08,10581.22,UVEEF
2022-12-09,10750.14,UVEEF
2022-12-09,10750.14,UVEEF
2022-12-13,10706.65,UVEEF
2022-12-14,10830.24,UVEEF
2022-12-15,10853.76,UVEEF
2022-12-16,10995.26,UVEEF
2022-12-19,11044.93,UVEEF
2022-12-20,10852.67,UVEEF
2022-12-21,10656.41,UVEEF
2022-12-22,10600.28,UVEEF
2022-12-23,10648.04,UVEEF
2022-12-26,10603.46,UVEEF
2022-12-27,10239.59,UVEEF
2022-12-28,10417.57,UVEEF
2022-12-29,10458.94,UVEEF
2022-12-30,10435.56,UVEEF
2023-01-03,10434.57,UVEEF
2023-01-04,10773.8,UVEEF
2023-01-05,10776.27,UVEEF
2023-01-06,10883.69,UVEEF
2023-01-09,10814.11,UVEEF
2023-01-10,10830.54,UVEEF
2023-01-11,10828.33,UVEEF
2023-01-12,10849.19,UVEEF
2023-01-13,10858.45,UVEEF
2023-01-16,10882.61,UVEEF
2023-01-17,10925.02,UVEEF
2023-01-18,11160.83,UVEEF
2023-01-19,11301.75,UVEEF
2023-01-27,11412.38,UVEEF
2023-01-30,11540.31,UVEEF
2023-01-31,11407.04,UVEEF
2023-02-01,11523.57,UVEEF
2023-02-02,11207.58,UVEEF
2023-02-03,11216.39,UVEEF
2023-02-06,11161.58,UVEEF
2023-02-07,11248.14,UVEEF
2023-02-08,11072.35,UVEEF
2023-02-09,11107.64,UVEEF
2023-02-10,11048.5,UVEEF
2023-02-13,10932.03,UVEEF
2023-02-14,10742.27,UVEEF
2023-02-15,10742.09,UVEEF
2023-02-16,10826.93,UVEEF
2023-02-17,10936.8,UVEEF
2023-02-20,10936.33,UVEEF
2023-02-21,11226.42,UVEEF
2023-02-22,11161.13,UVEEF
2023-02-23,10903.66,UVEEF
2023-02-24,10914.62,UVEEF
2023-02-27,10758.79,UVEEF
2023-02-28,10537.39,UVEEF
2023-03-01,10569.99,UVEEF
2023-03-02,10773.9,UVEEF
2023-03-03,10755.18,UVEEF
2023-03-06,10584.83,UVEEF
2023-03-07,10577.61,UVEEF
2023-03-08,10655.68,UVEEF
2023-03-09,10787.62,UVEEF
2023-03-10,10878.7,UVEEF
2023-03-13,10786.21,UVEEF
2023-03-14,10722.07,UVEEF
2023-03-15,10604.1,UVEEF
2023-03-16,10830.4,UVEEF
2023-03-17,10708.52,UVEEF
2023-03-20,10686.22,UVEEF
2023-03-21,10488.27,UVEEF
2023-03-22,10557.68,UVEEF
2023-03-23,10612.42,UVEEF
2023-03-24,10651.72,UVEEF
2023-03-27,10670.29,UVEEF
2023-03-28,10742.56,UVEEF
2023-03-29,10764.05,UVEEF
2023-03-30,10756.87,UVEEF
2023-03-31,10805.45,UVEEF
2023-04-03,10843.38,UVEEF
2023-04-04,10989.4,UVEEF
2023-04-05,11027.47,UVEEF
2023-04-06,11051.58,UVEEF
2023-04-07,10968.29,UVEEF
2023-04-10,10954.91,UVEEF
2023-04-11,10939.8,UVEEF
2023-04-12,10983.94,UVEEF
2023-04-13,10991.69,UVEEF
2023-04-14,10965.88,UVEEF
2023-04-17,10870.01,UVEEF
2023-04-18,10888.01,UVEEF
2023-04-19,10861.56,UVEEF
2023-04-20,10813.08,UVEEF
2023-04-21,10818.73,UVEEF
2023-04-24,10790.67,UVEEF
2023-04-25,10785.02,UVEEF
2023-04-26,10766.84,UVEEF
2023-04-27,10855.46,UVEEF
2023-04-28,10869.68,UVEEF
2023-05-04,10928.3,UVEEF
2023-05-05,10855.4,UVEEF
2023-05-08,10843.44,UVEEF
2023-05-09,10956.46,UVEEF
2023-05-10,10956.22,UVEEF
2023-05-11,10982.65,UVEEF
2023-05-12,10977.6,UVEEF
2023-05-15,11029.64,UVEEF
2023-05-16,11045.45,UVEEF
2023-05-17,11075.46,UVEEF
2023-05-18,10991.98,UVEEF
2023-05-19,11067.15,UVEEF
2023-05-22,11071.76,UVEEF
2023-05-23,11128.01,UVEEF
2023-05-24,11128.31,UVEEF
2023-05-25,11041.2,UVEEF
2023-05-26,11057.34,UVEEF
2023-05-29,11042.4,UVEEF
2023-05-30,11118.11,UVEEF
2023-05-31,11173.22,UVEEF
2023-06-01,11190.16,UVEEF
2023-06-02,11257.54,UVEEF
2023-06-05,11385.76,UVEEF
2023-06-06,11427.65,UVEEF
2023-06-07,11534.66,UVEEF
2023-06-08,11518.23,UVEEF
2023-06-09,11410.46,UVEEF
2023-06-12,11555.78,UVEEF
2023-06-13,11616.85,UVEEF
2023-06-14,11659.17,UVEEF
2023-06-15,11582.26,UVEEF
2023-06-16,11618.5,UVEEF
2023-06-19,11666.04,UVEEF
2023-06-20,11607.45,UVEEF
2023-06-21,11680.13,UVEEF
2023-06-22,11719.95,UVEEF
2023-06-23,11750.54,UVEEF
2023-06-26,11807.97,UVEEF
2023-06-27,11860.9,UVEEF
2023-06-28,11884.29,UVEEF
2023-06-29,11949.32,UVEEF
2023-06-30,11808.94,UVEEF
2023-07-03,11799.71,UVEEF
2023-07-04,11857.45,UVEEF
2023-07-05,11917.55,UVEEF
2023-07-06,11962.55,UVEEF
2023-07-07,11838.33,UVEEF
2023-07-10,11958.66,UVEEF
2023-07-11,12036.16,UVEEF
2023-07-12,12049.19,UVEEF
2023-07-13,12035.64,UVEEF
2023-07-14,12143.32,UVEEF
2023-07-17,12181.82,UVEEF
2023-07-18,12192.64,UVEEF
2023-07-19,12235.04,UVEEF
2023-07-20,12245.72,UVEEF
2023-07-21,12279.18,UVEEF
2023-07-24,12327.06,UVEEF
2023-07-25,12326.49,UVEEF
2023-07-26,12396.34,UVEEF
2023-07-27,12444.19,UVEEF
2023-07-28,12386.85,UVEEF
2023-07-31,12456.99,UVEEF
2023-08-01,12512.8,UVEEF
2023-08-02,12397.53,UVEEF
2023-08-03,12416.72,UVEEF
2023-08-04,12318.96,UVEEF
2023-08-07,12396.36,UVEEF
2023-08-08,12511.7,UVEEF
2023-08-09,12472.81,UVEEF
2023-08-10,12429.63,UVEEF
2023-08-11,12243.68,UVEEF
2023-08-14,12276.13,UVEEF
2023-08-15,12321.71,UVEEF
2023-08-16,12315.37,UVEEF
2023-08-17,12361.91,UVEEF
2023-08-18,12314.71,UVEEF
2023-08-21,11888.98,UVEEF
2023-08-22,12006.27,UVEEF
2023-08-23,12035.18,UVEEF
2023-08-24,11936.54,UVEEF
2023-08-25,12167.22,UVEEF
2023-08-28,12180.72,UVEEF
2023-08-29,12327.66,UVEEF
2023-08-30,12398.09,UVEEF
2023-08-31,12574.98,UVEEF
2023-09-05,12679.52,UVEEF
2023-09-06,12751.82,UVEEF
2023-09-07,12867.52,UVEEF
2023-09-08,12882.91,UVEEF
2023-09-11,12869.22,UVEEF
2023-09-12,12660.46,UVEEF
2023-09-13,12868.8,UVEEF
2023-09-14,12843.14,UVEEF
2023-09-15,12708.83,UVEEF
2023-09-18,12731.4,UVEEF
2023-09-19,12687.59,UVEEF
2023-09-20,12746.45,UVEEF
2023-09-21,12912.2,UVEEF
2023-09-22,12782.22,UVEEF
2023-09-25,12583.44,UVEEF
2023-09-26,12141.8,UVEEF
2023-09-27,12077.94,UVEEF
2023-09-28,12307.12,UVEEF
2023-09-29,12341.9,UVEEF
2023-10-02,12312.43,UVEEF
2023-10-03,12326.09,UVEEF
2023-10-04,12009.4,UVEEF
2023-10-05,12124.37,UVEEF
2023-10-06,12062.36,UVEEF
2023-10-09,12181.5,UVEEF
2023-10-10,12306.75,UVEEF
2023-10-11,12373.49,UVEEF
2023-10-12,12472.74,UVEEF
2023-10-13,12446.3,UVEEF
2023-10-16,12483.11,UVEEF
2023-10-17,12342.54,UVEEF
2023-10-18,12065.59,UVEEF
2023-10-19,11931.37,UVEEF
2023-10-20,11792.71,UVEEF
2023-10-23,11982.18,UVEEF
2023-10-24,11806.4,UVEEF
2023-10-25,11904.13,UVEEF
2023-10-26,11835.62,UVEEF
2023-10-27,11404.53,UVEEF
2023-10-30,11543.75,UVEEF
2023-10-31,11287.47,UVEEF
2023-11-01,11108.45,UVEEF
2023-11-02,11292.76,UVEEF
2023-11-03,11658.22,UVEEF
2023-11-06,11625.07,UVEEF
2023-11-07,11792.55,UVEEF
2023-11-08,11739.31,UVEEF
2023-11-09,12078.33,UVEEF
2023-11-10,12060.06,UVEEF
2023-11-13,11955.0,UVEEF
2023-11-14,11990.79,UVEEF
2023-11-15,12111.85,UVEEF
2023-11-16,12190.57,UVEEF
2023-11-17,12266.0,UVEEF
2023-11-20,12054.15,UVEEF
2023-11-21,12050.8,UVEEF
2023-11-22,12171.71,UVEEF
2023-11-23,12209.56,UVEEF
2023-11-24,11909.37,UVEEF
2023-11-27,11989.34,UVEEF
2023-11-28,11870.13,UVEEF
2023-11-29,11943.06,UVEEF
2023-11-30,12045.04,UVEEF
2023-12-01,11981.57,UVEEF
2023-12-04,12036.75,UVEEF
2023-12-05,12215.77,UVEEF
2023-12-06,12185.64,UVEEF
2023-12-07,12282.97,UVEEF
2023-12-08,12235.88,UVEEF
2023-12-11,12221.09,UVEEF
2023-12-12,12192.21,UVEEF
2023-12-13,12257.08,UVEEF
2023-12-14,12089.47,UVEEF
2023-12-15,12043.5,UVEEF
2023-12-18,11975.16,UVEEF
2023-12-19,11894.28,UVEEF
2023-12-20,11970.07,UVEEF
2023-12-21,11998.79,UVEEF
2023-12-22,12033.92,UVEEF
2023-12-25,12043.86,UVEEF
2023-12-26,12224.93,UVEEF
2023-12-27,12252.81,UVEEF
2023-12-28,12244.38,UVEEF
2023-12-29,12286.77,UVEEF
2024-01-02,12280.67,UVEEF
2024-01-03,12309.59,UVEEF
2024-01-04,12410.53,UVEEF
2024-01-05,12498.85,UVEEF
2024-01-08,12546.09,UVEEF
2024-01-09,12586.47,UVEEF
2024-01-10,12542.08,UVEEF
2024-01-11,12515.82,UVEEF
2024-01-12,12534.42,UVEEF
2024-01-15,12507.09,UVEEF
2024-01-16,12456.24,UVEEF
2024-01-17,12561.32,UVEEF
2024-01-18,12562.23,UVEEF
2024-01-19,12634.2,UVEEF
2024-01-22,12715.48,UVEEF
2024-01-23,12763.22,UVEEF
2024-01-24,12735.45,UVEEF
2024-01-25,12678.91,UVEEF
2024-01-26,12654.38,UVEEF
2024-01-29,12727.59,UVEEF
2024-01-30,12698.7,UVEEF
2024-01-31,12735.67,UVEEF
2024-02-01,12618.54,UVEEF
2024-02-02,12750.74,UVEEF
2024-02-05,12771.17,UVEEF
2024-02-06,13006.21,UVEEF
2024-02-07,13047.5,UVEEF
2024-02-15,13136.77,UVEEF
2024-02-16,13160.97,UVEEF
2024-02-19,13193.67,UVEEF
2024-02-20,13213.12,UVEEF
2024-02-21,13200.6,UVEEF
2024-02-22,13238.2,UVEEF
2024-02-23,13262.9,UVEEF
2024-02-26,13126.01,UVEEF
2024-02-27,13348.8,UVEEF
2024-02-28,13504.38,UVEEF
2024-02-29,13621.04,UVEEF
2024-03-01,13712.16,UVEEF
2024-03-04,13816.83,UVEEF
2024-03-05,13853.76,UVEEF
2024-03-06,13904.78,UVEEF
2024-03-07,13799.95,UVEEF
2024-03-08,13886.69,UVEEF
2024-03-11,13668.64,UVEEF
2024-03-12,13607.58,UVEEF
2024-03-13,13733.79,UVEEF
2024-03-14,14090.21,UVEEF
2024-03-15,14008.4,UVEEF
2024-03-18,14007.13,UVEEF
2024-03-19,13767.77,UVEEF
2024-03-20,13757.15,UVEEF
2024-03-21,14006.01,UVEEF
2024-03-22,14237.06,UVEEF
2024-03-25,14281.95,UVEEF
2024-03-26,14126.23,UVEEF
2024-03-27,14328.31,UVEEF
2024-03-28,14427.32,UVEEF
2024-03-29,14519.32,UVEEF
2024-04-01,14449.44,UVEEF
2024-04-02,14387.22,UVEEF
2024-04-03,14461.37,UVEEF
2024-04-04,14277.23,UVEEF
2024-04-05,14168.88,UVEEF
2024-04-08,13976.64,UVEEF
2024-04-09,13923.67,UVEEF
2024-04-10,14031.33,UVEEF
2024-04-11,13968.64,UVEEF
2024-04-12,13964.44,UVEEF
2024-04-15,14226.65,UVEEF
2024-04-16,13571.83,UVEEF
2024-04-17,13630.84,UVEEF
2024-04-19,13423.81,UVEEF
2024-04-22,13200.26,UVEEF
2024-04-23,13379.39,UVEEF
2024-04-24,13280.52,UVEEF
2024-04-25,13659.9,UVEEF
2024-04-26,13638.93,UVEEF
2024-05-02,13680.43,UVEEF
2024-05-03,13830.37,UVEEF
2024-05-06,13926.72,UVEEF
2024-05-07,14068.98,UVEEF
2024-05-08,14163.13,UVEEF
2024-05-09,14208.22,UVEEF
2024-05-10,14199.56,UVEEF
2024-05-13,14207.27,UVEEF
2024-05-14,14124.71,UVEEF
2024-05-15,14173.84,UVEEF
2024-05-16,14350.05,UVEEF
2024-05-17,14500.5,UVEEF
2024-05-20,14489.55,UVEEF
2024-05-21,14449.85,UVEEF
2024-05-22,14528.42,UVEEF
2024-05-23,14448.93,UVEEF
2024-05-24,14607.36,UVEEF
2024-05-27,14288.65,UVEEF
2024-05-28,14339.75,UVEEF
2024-05-29,14508.88,UVEEF
