stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
TCB,Ngân hàng,7.42,STOCK,2025-07-07,58,UVEEF
VCB,Ngân hàng,6.46,STOCK,2025-07-07,58,UVEEF
MBB,Ngân hàng,6.1,STOCK,2025-07-07,58,UVEEF
ACB,Ngân hàng,5.15,STOCK,2025-07-07,58,UVEEF
FPT,Công nghệ và thông tin,4.63,STOCK,2025-07-07,58,UVEEF
MWG,Bán lẻ,4.55,STOCK,2025-07-07,58,UVEEF
STB,Ngân hàng,4.48,STOCK,2025-07-07,58,UVEEF
REE,Thiết bị điện,3.72,STOCK,2025-07-07,58,UVEEF
HPG,Vật liệu xây dựng,3.69,STOCK,2025-07-07,58,UVEEF
PNJ,Sản xuất Phụ trợ,3.69,STOCK,2025-07-07,58,UVEEF
