stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
PVI,Bảo hiểm,8.37,STOCK,2025-07-07,80,VDEF
MBB,Ngân hàng,7.92,STOCK,2025-07-07,80,VDEF
CTG,Ngân hàng,7.86,STOCK,2025-07-07,80,VDEF
HPG,Vật liệu xây dựng,6.79,STOCK,2025-07-07,80,VDEF
FPT,Công nghệ và thông tin,6.33,STOCK,2025-07-07,80,VDEF
PHR,Sản xuất Nhựa - Hóa chất,5.5,STOCK,2025-07-07,80,VDEF
STB,Ngân hàng,5.08,STOCK,2025-07-07,80,VDEF
BVH,Bảo hiểm,4.8,STOCK,2025-07-07,80,VDEF
REE,Thiết bị điện,4.59,STOCK,2025-07-07,80,VDEF
QNS,Thực phẩm - Đồ uống,4.51,STOCK,2025-07-07,80,VDEF
