stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,8.49,STOCK,2025-07-07,68,VMEEF
TCB,Ngân hàng,7.28,STOCK,2025-07-07,68,VMEEF
DGC,Sản xuất Nhựa - Hóa chất,5.53,STOCK,2025-07-07,68,VMEEF
BVH,Bảo hiểm,4.57,STOCK,2025-07-07,68,VMEEF
ACV,Vận tải - Kho bãi,4.42,STOCK,2025-07-07,68,VMEEF
ACB,Ngân hàng,4.4,STOCK,2025-07-07,68,VMEEF
VCB,Ngân hàng,4.4,STOCK,2025-07-07,68,VMEEF
CTG,Ngân hàng,4.37,STOCK,2025-07-07,68,VMEEF
GAS,Tiện ích,4.36,STOCK,2025-07-07,68,VMEEF
FPT,Công nghệ và thông tin,4.31,STOCK,2025-07-07,68,VMEEF
