stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
DBD,Chăm sóc sức khỏe,9.38,STOCK,2025-07-07,76,LHCDF
NAB,Ngân hàng,8.59,STOCK,2025-07-07,76,LHCDF
CTG,Ngân hàng,7.08,STOCK,2025-07-07,76,LHCDF
KBC,Bất động sản,5.46,STOCK,2025-07-07,76,LHCDF
HPG,Vật liệu xây dựng,5.18,STOCK,2025-07-07,76,LHCDF
KDH,Bất động sản,4.35,STOCK,2025-07-07,76,LHCDF
VNM,Thực phẩm - Đồ uống,4.33,STOCK,2025-07-07,76,LHCDF
HDB,Ngân hàng,3.99,STOCK,2025-07-07,76,LHCDF
TNG,Sản xuất Hàng gia dụng,3.73,STOCK,2025-07-07,76,LHCDF
GSP,Vận tải - Kho bãi,3.49,STOCK,2025-07-07,76,LHCDF
