industry,net_asset_percent,short_name
Ngân hàng,24.54,TBLF
Vật liệu xây dựng,16.62,TBLF
Sản xuất Phụ trợ,14.63,TBLF
Bán lẻ,11.55,TBLF
Thực phẩm - Đồ uống,10.03,TBLF
Chế biến thủy sản,3.92,TBLF
Vận tải - Kho bãi,3.34,TBLF
Tiện ích,3.26,TBLF
Chứng khoán,1.34,TBLF
