industry,net_asset_percent,short_name
Ngân hàng,18.98,MAFBAL
Bất động sản,17.56,MAFBAL
Thực phẩm - Đồ uống,8.82,MAFBAL
Vật liệu xây dựng,4.2,MAFBAL
Công nghệ và thông tin,3.14,MAFBAL
Vận tải - Kho bãi,2.6,MAFBAL
Bán lẻ,2.49,MAFBAL
Chứng khoán,2.13,MAFBAL
Tiện ích,1.72,MAFBAL
Thiết bị điện,1.67,MAFBAL
Xây dựng,1.3,MAFBAL
Bảo hiểm,1.21,MAFBAL
Sản xuất Nhựa - Hóa chất,0.99,MAFBAL
Bán buôn,0.67,MAFBAL
