industry,net_asset_percent,short_name
Ngân hàng,36.94,MBVF
Bất động sản,10.07,MBVF
Tiện ích,7.41,MBVF
Vật liệu xây dựng,4.31,MBVF
Bán buôn,3.37,MBVF
"Sản xuất Thiết bị, máy móc",3.36,MBVF
Sản xuất Phụ trợ,2.92,MBVF
Thực phẩm - Đồ uống,2.71,MBVF
Thiết bị điện,0.98,MBVF
Sản xuất Hàng gia dụng,0.65,MBVF
