date,nav_per_unit,short_name
2018-01-03,19545.89,VCBF-BCF
2018-01-10,19899.91,VCBF-BCF
2018-01-17,20024.66,VCBF-BCF
2018-01-24,19961.38,VCBF-BCF
2018-01-31,20145.22,VCBF-BCF
2018-01-31,19963.81,VCBF-BCF
2018-02-07,18607.79,VCBF-BCF
2018-02-14,19620.19,VCBF-BCF
2018-02-21,19614.87,VCBF-BCF
2018-02-28,20101.15,VCBF-BCF
2018-02-28,20187.86,VCBF-BCF
2018-03-07,20429.56,VCBF-BCF
2018-03-14,20741.39,VCBF-BCF
2018-03-21,20801.57,VCBF-BCF
2018-03-28,20711.51,VCBF-BCF
2018-03-31,20604.67,VCBF-BCF
2018-04-04,20637.64,VCBF-BCF
2018-04-11,20686.91,VCBF-BCF
2018-04-18,20172.83,VCBF-BCF
2018-04-26,19026.1,VCBF-BCF
2018-04-30,18911.09,VCBF-BCF
2018-05-02,18910.18,VCBF-BCF
2018-05-09,19067.34,VCBF-BCF
2018-05-16,19211.06,VCBF-BCF
2018-05-23,18378.44,VCBF-BCF
2018-05-30,18059.76,VCBF-BCF
2018-05-31,18214.38,VCBF-BCF
2018-06-06,18868.82,VCBF-BCF
2018-06-13,18823.57,VCBF-BCF
2018-06-20,18016.21,VCBF-BCF
2018-06-27,18464.6,VCBF-BCF
2018-06-30,18028.73,VCBF-BCF
2018-07-04,17087.84,VCBF-BCF
2018-07-11,17159.62,VCBF-BCF
2018-07-18,17504.17,VCBF-BCF
2018-07-25,17831.3,VCBF-BCF
2018-07-31,18195.11,VCBF-BCF
2018-08-08,17884.46,VCBF-BCF
2018-08-15,18418.36,VCBF-BCF
2018-08-22,18437.25,VCBF-BCF
2018-08-29,18687.8,VCBF-BCF
2018-08-31,18799.84,VCBF-BCF
2018-09-05,18608.64,VCBF-BCF
2018-09-12,18786.28,VCBF-BCF
2018-09-19,19237.44,VCBF-BCF
2018-09-26,19680.04,VCBF-BCF
2018-09-30,19841.26,VCBF-BCF
2018-10-03,19862.73,VCBF-BCF
2018-10-10,19839.81,VCBF-BCF
2018-10-17,19044.0,VCBF-BCF
2018-10-24,18301.39,VCBF-BCF
2018-10-31,17598.95,VCBF-BCF
2018-10-31,18029.91,VCBF-BCF
2018-11-07,18180.5,VCBF-BCF
2018-11-14,17813.51,VCBF-BCF
2018-11-21,18098.57,VCBF-BCF
2018-11-28,18081.46,VCBF-BCF
2018-11-30,18145.9,VCBF-BCF
2018-12-05,18756.06,VCBF-BCF
2018-12-12,18651.58,VCBF-BCF
2018-12-19,18155.13,VCBF-BCF
2018-12-26,17479.23,VCBF-BCF
2018-12-31,17760.77,VCBF-BCF
2019-01-02,17759.75,VCBF-BCF
2019-01-09,17391.64,VCBF-BCF
2019-01-16,17724.51,VCBF-BCF
2019-01-23,17715.69,VCBF-BCF
2019-01-30,17878.06,VCBF-BCF
2019-01-31,17953.7,VCBF-BCF
2019-02-06,17946.37,VCBF-BCF
2019-02-11,17941.15,VCBF-BCF
2019-02-13,18284.49,VCBF-BCF
2019-02-20,18495.29,VCBF-BCF
2019-02-27,18773.48,VCBF-BCF
2019-02-28,18538.58,VCBF-BCF
2019-03-06,18909.4,VCBF-BCF
2019-03-13,19136.9,VCBF-BCF
2019-03-20,19058.68,VCBF-BCF
2019-03-27,18631.41,VCBF-BCF
2019-03-31,18747.98,VCBF-BCF
2019-04-03,18733.97,VCBF-BCF
2019-04-10,18767.97,VCBF-BCF
2019-04-17,18663.38,VCBF-BCF
2019-04-24,18304.1,VCBF-BCF
2019-04-30,18612.83,VCBF-BCF
2019-05-02,18611.8,VCBF-BCF
2019-05-08,18338.22,VCBF-BCF
2019-05-15,18551.01,VCBF-BCF
2019-05-22,18635.79,VCBF-BCF
2019-05-29,18617.1,VCBF-BCF
2019-05-31,18217.92,VCBF-BCF
2019-06-05,17896.41,VCBF-BCF
2019-06-12,18181.65,VCBF-BCF
2019-06-19,17746.25,VCBF-BCF
2019-06-26,17934.03,VCBF-BCF
2019-06-30,18023.79,VCBF-BCF
2019-07-03,18121.21,VCBF-BCF
2019-07-10,18260.59,VCBF-BCF
2019-07-17,18422.92,VCBF-BCF
2019-07-24,18659.5,VCBF-BCF
2019-07-31,18179.41,VCBF-BCF
2019-07-31,18363.64,VCBF-BCF
2019-08-07,17998.75,VCBF-BCF
2019-08-14,18578.84,VCBF-BCF
2019-08-21,18882.19,VCBF-BCF
2019-08-28,18619.79,VCBF-BCF
2019-08-31,18698.2,VCBF-BCF
2019-09-04,18615.44,VCBF-BCF
2019-09-11,18289.84,VCBF-BCF
2019-09-18,18873.96,VCBF-BCF
2019-09-25,18957.58,VCBF-BCF
2019-09-30,19088.59,VCBF-BCF
2019-10-02,19116.04,VCBF-BCF
2019-10-09,18889.12,VCBF-BCF
2019-10-16,19053.12,VCBF-BCF
2019-10-23,18883.19,VCBF-BCF
2019-10-30,19109.41,VCBF-BCF
2019-10-31,19040.54,VCBF-BCF
2019-11-06,19253.4,VCBF-BCF
2019-11-13,19262.07,VCBF-BCF
2019-11-20,19030.75,VCBF-BCF
2019-11-27,18662.48,VCBF-BCF
2019-11-30,18409.81,VCBF-BCF
2019-12-04,18147.18,VCBF-BCF
2019-12-11,18361.73,VCBF-BCF
2019-12-18,18301.83,VCBF-BCF
2019-12-25,18213.27,VCBF-BCF
2019-12-31,18295.22,VCBF-BCF
2020-01-02,18294.12,VCBF-BCF
2020-01-08,18353.8,VCBF-BCF
2020-01-15,18399.89,VCBF-BCF
2020-01-22,18740.35,VCBF-BCF
2020-01-30,18811.65,VCBF-BCF
2020-01-31,17719.27,VCBF-BCF
2020-02-05,17402.03,VCBF-BCF
2020-02-12,17608.35,VCBF-BCF
2020-02-19,17951.5,VCBF-BCF
2020-02-26,17539.79,VCBF-BCF
2020-02-29,17334.07,VCBF-BCF
2020-03-04,17553.8,VCBF-BCF
2020-03-11,16487.64,VCBF-BCF
2020-03-18,14746.27,VCBF-BCF
2020-03-25,13508.7,VCBF-BCF
2020-03-31,13070.46,VCBF-BCF
2020-04-08,14422.31,VCBF-BCF
2020-04-15,14702.45,VCBF-BCF
2020-04-22,14752.6,VCBF-BCF
2020-04-29,15069.24,VCBF-BCF
2020-04-30,15138.19,VCBF-BCF
2020-05-06,15040.17,VCBF-BCF
2020-05-13,15754.84,VCBF-BCF
2020-05-20,15913.91,VCBF-BCF
2020-05-27,16187.99,VCBF-BCF
2020-05-31,15982.15,VCBF-BCF
2020-06-03,16161.56,VCBF-BCF
2020-06-10,16567.34,VCBF-BCF
2020-06-17,16056.62,VCBF-BCF
2020-06-24,16258.72,VCBF-BCF
2020-07-01,15864.72,VCBF-BCF
2020-07-08,16248.24,VCBF-BCF
2020-07-15,16311.0,VCBF-BCF
2020-07-22,16317.1,VCBF-BCF
2020-07-29,15710.92,VCBF-BCF
2020-07-31,15530.25,VCBF-BCF
2020-08-05,15944.95,VCBF-BCF
2020-08-12,16202.16,VCBF-BCF
2020-08-19,16457.02,VCBF-BCF
2020-08-26,16966.14,VCBF-BCF
2020-08-31,17097.0,VCBF-BCF
2020-09-03,17196.79,VCBF-BCF
2020-09-09,17085.61,VCBF-BCF
2020-09-16,17298.24,VCBF-BCF
2020-09-23,17632.41,VCBF-BCF
2020-09-30,17682.3,VCBF-BCF
2020-09-30,17764.46,VCBF-BCF
2020-10-07,18070.86,VCBF-BCF
2020-10-14,18008.02,VCBF-BCF
2020-10-21,18337.89,VCBF-BCF
2020-10-28,18220.36,VCBF-BCF
2020-10-31,17984.23,VCBF-BCF
2020-11-04,18203.83,VCBF-BCF
2020-11-11,18534.68,VCBF-BCF
2020-11-18,19067.59,VCBF-BCF
2020-11-25,19514.99,VCBF-BCF
2020-11-30,19662.01,VCBF-BCF
2020-12-02,19767.14,VCBF-BCF
2020-12-09,20196.77,VCBF-BCF
2020-12-16,20477.86,VCBF-BCF
2020-12-23,20908.87,VCBF-BCF
2020-12-30,21228.41,VCBF-BCF
2020-12-31,21350.65,VCBF-BCF
2021-01-06,22054.1,VCBF-BCF
2021-01-13,23116.37,VCBF-BCF
2021-01-20,21768.04,VCBF-BCF
2021-01-27,22095.74,VCBF-BCF
2021-01-31,20829.56,VCBF-BCF
2021-02-03,20936.41,VCBF-BCF
2021-02-10,21998.74,VCBF-BCF
2021-02-17,21989.74,VCBF-BCF
2021-02-24,23196.19,VCBF-BCF
2021-02-28,23265.5,VCBF-BCF
2021-03-03,23624.22,VCBF-BCF
2021-03-10,23315.25,VCBF-BCF
2021-03-17,23874.27,VCBF-BCF
2021-03-24,23842.7,VCBF-BCF
2021-03-31,23512.01,VCBF-BCF
2021-03-31,23629.82,VCBF-BCF
2021-04-07,24494.19,VCBF-BCF
2021-04-14,24368.86,VCBF-BCF
2021-04-22,24644.68,VCBF-BCF
2021-04-28,23811.58,VCBF-BCF
2021-04-30,24148.0,VCBF-BCF
2021-05-05,24234.95,VCBF-BCF
2021-05-12,24736.79,VCBF-BCF
2021-05-19,24764.7,VCBF-BCF
2021-05-26,26168.25,VCBF-BCF
2021-05-31,26768.05,VCBF-BCF
2021-06-02,27094.0,VCBF-BCF
2021-06-09,26452.14,VCBF-BCF
2021-06-16,27602.88,VCBF-BCF
2021-06-23,28066.66,VCBF-BCF
2021-06-30,28351.1,VCBF-BCF
2021-06-30,28300.25,VCBF-BCF
2021-07-07,27136.34,VCBF-BCF
2021-07-14,26707.64,VCBF-BCF
2021-07-21,26363.7,VCBF-BCF
2021-07-28,26695.52,VCBF-BCF
2021-08-04,27623.13,VCBF-BCF
2021-08-11,28164.98,VCBF-BCF
2021-08-18,28088.18,VCBF-BCF
2021-08-25,26809.77,VCBF-BCF
2021-09-01,27514.01,VCBF-BCF
2021-09-08,27706.36,VCBF-BCF
2021-09-15,27813.6,VCBF-BCF
2021-09-22,28007.69,VCBF-BCF
2021-09-29,28280.67,VCBF-BCF
2021-10-06,28628.98,VCBF-BCF
2021-10-13,29553.56,VCBF-BCF
2021-10-20,29424.26,VCBF-BCF
2021-10-27,29316.97,VCBF-BCF
2021-11-03,30040.71,VCBF-BCF
2021-11-10,30236.35,VCBF-BCF
2021-11-17,30231.33,VCBF-BCF
2021-11-24,29905.4,VCBF-BCF
2021-12-01,29783.15,VCBF-BCF
2021-12-08,29097.09,VCBF-BCF
2021-12-15,29426.24,VCBF-BCF
2021-12-22,29226.82,VCBF-BCF
2021-12-29,29233.93,VCBF-BCF
2022-01-05,29771.08,VCBF-BCF
2022-01-12,29041.39,VCBF-BCF
2022-01-19,28907.2,VCBF-BCF
2022-01-26,29414.95,VCBF-BCF
2022-02-07,29775.55,VCBF-BCF
2022-02-09,30239.07,VCBF-BCF
2022-02-16,30118.88,VCBF-BCF
2022-02-23,30516.06,VCBF-BCF
2022-03-02,30455.51,VCBF-BCF
2022-03-09,29833.42,VCBF-BCF
2022-03-16,29502.4,VCBF-BCF
2022-03-23,30444.64,VCBF-BCF
2022-03-30,31102.11,VCBF-BCF
2022-04-06,31723.28,VCBF-BCF
2022-04-13,30760.6,VCBF-BCF
2022-04-20,30741.31,VCBF-BCF
2022-04-27,29005.84,VCBF-BCF
2022-05-04,29489.17,VCBF-BCF
2022-05-11,28274.36,VCBF-BCF
2022-05-18,27380.11,VCBF-BCF
2022-05-25,27318.85,VCBF-BCF
2022-06-01,28906.62,VCBF-BCF
2022-06-08,29268.18,VCBF-BCF
2022-06-15,27638.7,VCBF-BCF
2022-06-22,26540.43,VCBF-BCF
2022-06-29,27774.03,VCBF-BCF
2022-07-05,27331.46,VCBF-BCF
2022-07-07,26463.09,VCBF-BCF
2022-07-12,26491.91,VCBF-BCF
2022-07-14,26938.39,VCBF-BCF
2022-07-19,26879.64,VCBF-BCF
2022-07-21,27211.55,VCBF-BCF
2022-07-26,27060.53,VCBF-BCF
2022-07-28,27019.06,VCBF-BCF
2022-08-02,27920.75,VCBF-BCF
2022-08-04,28232.91,VCBF-BCF
2022-08-09,28200.85,VCBF-BCF
2022-08-11,28212.78,VCBF-BCF
2022-08-16,28621.7,VCBF-BCF
2022-08-18,28626.2,VCBF-BCF
2022-08-23,28471.2,VCBF-BCF
2022-08-25,28791.33,VCBF-BCF
2022-08-30,28793.37,VCBF-BCF
2022-09-06,28878.05,VCBF-BCF
2022-09-08,28027.18,VCBF-BCF
2022-09-13,28265.05,VCBF-BCF
2022-09-15,28050.35,VCBF-BCF
2022-09-20,27038.82,VCBF-BCF
2022-09-22,27288.95,VCBF-BCF
2022-09-27,26485.1,VCBF-BCF
2022-09-29,25850.36,VCBF-BCF
2022-10-04,24442.18,VCBF-BCF
2022-10-06,24966.09,VCBF-BCF
2022-10-11,23683.07,VCBF-BCF
2022-10-13,23514.26,VCBF-BCF
2022-10-18,24093.18,VCBF-BCF
2022-10-20,24317.83,VCBF-BCF
2022-10-25,22287.59,VCBF-BCF
2022-10-27,22749.41,VCBF-BCF
2022-11-01,23497.2,VCBF-BCF
2022-11-03,23301.31,VCBF-BCF
2022-11-08,22193.94,VCBF-BCF
2022-11-10,22623.63,VCBF-BCF
2022-11-15,21517.75,VCBF-BCF
2022-11-17,21439.31,VCBF-BCF
2022-11-22,22160.84,VCBF-BCF
2022-11-24,22241.06,VCBF-BCF
2022-11-29,23822.37,VCBF-BCF
2022-12-01,24649.99,VCBF-BCF
2022-12-06,25822.5,VCBF-BCF
2022-12-08,24627.29,VCBF-BCF
2022-12-13,24506.59,VCBF-BCF
2022-12-15,25057.0,VCBF-BCF
2022-12-20,24750.14,VCBF-BCF
2022-12-22,24623.84,VCBF-BCF
2022-12-27,23633.59,VCBF-BCF
2022-12-29,24267.31,VCBF-BCF
2023-01-03,24126.82,VCBF-BCF
2023-01-05,24912.92,VCBF-BCF
2023-01-10,25088.92,VCBF-BCF
2023-01-12,25201.06,VCBF-BCF
2023-01-17,25417.53,VCBF-BCF
2023-01-19,26244.59,VCBF-BCF
2023-01-31,26353.41,VCBF-BCF
