industry,net_asset_percent,short_name
Ngân hàng,38.21,PHVSF
Tiện ích,6.07,PHVSF
Vật liệu xây dựng,5.25,PHVSF
Bất động sản,4.94,PHVSF
Thực phẩm - Đồ uống,4.46,PHVSF
Công nghệ và thông tin,3.96,PHVSF
Thiết bị điện,3.76,PHVSF
Bán lẻ,3.52,PHVSF
Chứng khoán,3.34,PHVSF
Xây dựng,3.32,PHVSF
Bảo hiểm,2.94,PHVSF
Khai khoáng,2.67,PHVSF
Sản xuất Nhựa - Hóa chất,1.51,PHVSF
Sản xuất Phụ trợ,1.26,PHVSF
"Dịch vụ tư vấn, hỗ trợ",1.14,PHVSF
Nguyên vật liệu/hóa chất,1.14,PHVSF
Sản xuất Hàng gia dụng,1.05,PHVSF
Vận tải - Kho bãi,0.99,PHVSF
