stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
STB,Ngân hàng,8.11,STOCK,2025-07-07,46,VCBF-MGF
MBB,Ngân hàng,6.19,STOCK,2025-07-07,46,VCBF-MGF
FPT,Công nghệ và thông tin,5.64,STOCK,2025-07-07,46,VCBF-MGF
PNJ,Sản xuất Phụ trợ,5.33,STOCK,2025-07-07,46,VCBF-MGF
BWE,Tiện ích,5.05,STOCK,2025-07-07,46,VCBF-MGF
MWG,Bán lẻ,4.12,STOCK,2025-07-07,46,VCBF-MGF
ACB,Ngân hàng,3.94,STOCK,2025-07-07,46,VCBF-MGF
PVS,Khai khoáng,3.51,STOCK,2025-07-07,46,VCBF-MGF
CTD,Xây dựng,3.49,STOCK,2025-07-07,46,VCBF-MGF
CTR,Công nghệ và thông tin,3.3,STOCK,2025-07-07,46,VCBF-MGF
