industry,net_asset_percent,short_name
Ngân hàng,22.93,VCBF-MGF
Công nghệ và thông tin,9.88,VCBF-MGF
Bất động sản,8.99,VCBF-MGF
Sản xuất Phụ trợ,7.32,VCBF-MGF
Bán lẻ,6.09,VCBF-MGF
Xây dựng,5.27,VCBF-MGF
Tiện ích,5.05,VCBF-MGF
Bảo hiểm,4.91,VCBF-MGF
Vật liệu xây dựng,4.48,VCBF-MGF
Vận tải - Kho bãi,4.26,VCBF-MGF
Khai khoáng,3.51,VCBF-MGF
Bán buôn,3.23,VCBF-MGF
Chăm sóc sức khỏe,2.65,VCBF-MGF
Thực phẩm - Đồ uống,2.55,VCBF-MGF
Chứng khoán,2.37,VCBF-MGF
Thiết bị điện,2.08,VCBF-MGF
Sản xuất Hàng gia dụng,1.25,VCBF-MGF
Sản xuất,0.94,VCBF-MGF
