stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
FPT,Công nghệ và thông tin,5.27,STOCK,2025-07-07,31,VCBF-TBF
MBB,Ngân hàng,5.09,STOCK,2025-07-07,31,VCBF-TBF
STB,Ngân hàng,5.07,STOCK,2025-07-07,31,VCBF-TBF
MWG,Bán lẻ,3.88,STOCK,2025-07-07,31,VCBF-TBF
HPG,Vật liệu xây dựng,2.91,STOCK,2025-07-07,31,VCBF-TBF
TCB,Ngân hàng,2.91,STOCK,2025-07-07,31,VCBF-TBF
PNJ,Sản xuất Phụ trợ,2.86,STOCK,2025-07-07,31,VCBF-TBF
MML121021,Thực phẩm - Đồ uống,5.15,BOND,2025-07-07,31,VCBF-TBF
VN00NL050628,Khác,4.0,UNLISTED_BOND,2025-07-07,31,VCBF-TBF
BCM12406,Bất động sản,3.97,UNLISTED_BOND,2025-07-07,31,VCBF-TBF
