stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
CTG,Ngân hàng,8.48,STOCK,2025-07-07,81,ENF
MBB,Ngân hàng,6.63,STOCK,2025-07-07,81,ENF
TCB,Ngân hàng,5.64,STOCK,2025-07-07,81,ENF
FPT,Công nghệ và thông tin,4.89,STOCK,2025-07-07,81,ENF
STB,Ngân hàng,4.66,STOCK,2025-07-07,81,ENF
REE,Thiết bị điện,3.5,STOCK,2025-07-07,81,ENF
HPG,Vật liệu xây dựng,3.06,STOCK,2025-07-07,81,ENF
ACB,Ngân hàng,2.95,STOCK,2025-07-07,81,ENF
KDH,Bất động sản,2.38,STOCK,2025-07-07,81,ENF
TCX124012,Khác,4.59,BOND,2025-07-07,81,ENF
