stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
HPG,Vật liệu xây dựng,9.51,STOCK,2025-07-07,12,BVFED
TCB,Ngân hàng,6.65,STOCK,2025-07-07,12,BVFED
VPB,Ngân hàng,4.77,STOCK,2025-07-07,12,BVFED
BWE,Tiện ích,4.57,STOCK,2025-07-07,12,BVFED
ACB,Ngân hàng,4.43,STOCK,2025-07-07,12,BVFED
HDG,Bất động sản,4.17,STOCK,2025-07-07,12,BVFED
MWG,Bán lẻ,4.15,STOCK,2025-07-07,12,BVFED
MBB,Ngân hàng,4.13,STOCK,2025-07-07,12,BVFED
SHB,Ngân hàng,4.06,STOCK,2025-07-07,12,BVFED
VIC,Bất động sản,3.92,STOCK,2025-07-07,12,BVFED
