industry,net_asset_percent,short_name
Ngân hàng,30.38,DCDS
Bất động sản,20.26,DCDS
Bán lẻ,7.67,DCDS
Vật liệu xây dựng,5.02,DCDS
Công nghệ và thông tin,4.77,DCDS
Sản xuất Nhựa - Hóa chất,4.58,DCDS
Bán buôn,3.87,DCDS
Thực phẩm - Đồ uống,3.34,DCDS
Vận tải - Kho bãi,2.83,DCDS
Chứng khoán,2.37,DCDS
Thiết bị điện,1.97,DCDS
Xây dựng,1.94,DCDS
Tiện ích,1.49,DCDS
Sản xuất Phụ trợ,1.19,DCDS
Khai khoáng,0.58,DCDS
