industry,net_asset_percent,short_name
Ngân hàng,32.93,BMFF
Bất động sản,5.93,BMFF
Sản xuất Phụ trợ,5.02,BMFF
Vật liệu xây dựng,4.57,BMFF
Thực phẩm - Đồ uống,3.83,BMFF
"Sản xuất Thiết bị, máy móc",3.6,BMFF
Vận tải - Kho bãi,3.46,BMFF
Bán buôn,3.14,BMFF
Chứng khoán,2.1,BMFF
Sản xuất Nhựa - Hóa chất,0.15,BMFF
Thiết bị điện,0.15,BMFF
