stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
CTG,Ngân hàng,9.01,STOCK,2025-07-07,72,MAFEQI
MBB,Ngân hàng,7.66,STOCK,2025-07-07,72,MAFEQI
HPG,Vật liệu xây dựng,7.09,STOCK,2025-07-07,72,MAFEQI
FPT,Công nghệ và thông tin,6.24,STOCK,2025-07-07,72,MAFEQI
TCB,Ngân hàng,5.91,STOCK,2025-07-07,72,MAFEQI
MWG,Bán lẻ,4.74,STOCK,2025-07-07,72,MAFEQI
VPB,Ngân hàng,3.87,STOCK,2025-07-07,72,MAFEQI
VHM,Bất động sản,3.75,STOCK,2025-07-07,72,MAFEQI
KDH,Bất động sản,3.39,STOCK,2025-07-07,72,MAFEQI
REE,Thiết bị điện,3.31,STOCK,2025-07-07,72,MAFEQI
