short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
DCDS,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.95,2004-05-19,93481.37,1.03,14.53,232.12,9.58,21.9,19.15,14.51,50.61,60.37,17.05,2025-07-15,28,VFMVF1,VFMVF1N001
SSISCA,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.75,2014-09-25,42653.81,0.53,4.58,195.95,7.54,14.94,7.77,7.45,47.42,52.29,15.05,2025-07-15,11,SSISCA,SSISCAN001
MBVF,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.5,2014-04-24,25442.0,0.56,14.42,78.08,7.04,15.17,16.91,18.15,38.47,47.94,13.95,2025-07-15,47,MBVF,MBVFN001
VCBF-MGF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2021-10-28,14067.72,1.08,4.72,40.68,8.1,16.14,8.07,10.37,38.95,47.62,13.86,2025-07-15,46,VCBFMGF,VCBFMGFN001
VCBF-BCF,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2014-08-21,39363.55,1.85,9.83,101.39,10.7,18.38,13.14,15.67,41.18,46.12,13.48,2025-07-15,32,VCBFBCF,VCBFBCFN001
DCDE,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.93,2008-02-27,29745.32,0.91,9.22,159.05,9.07,17.06,13.17,9.64,35.68,42.67,12.58,2025-07-15,25,VFMVF4,VFMVF4N001
BVFED,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,1.0,2014-01-07,26777.0,0.44,17.08,137.91,11.32,18.7,21.44,19.82,38.34,40.95,12.12,2025-07-15,12,BVFED,BVFEDN001
VCBF-TBF,QUỸ ĐẦU TƯ CÂN BẰNG CHIẾN LƯỢC VCBF,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.5,2013-12-23,35585.82,1.32,7.04,78.41,7.04,12.01,9.09,11.34,32.19,40.56,12.02,2025-07-15,31,VCBFTBF,VCBFTBFN001
BVPF,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,1.5,2016-12-28,21782.0,0.5,2.08,117.78,5.99,9.14,4.39,3.1,32.65,38.36,11.43,2025-07-15,14,BVPF,BVPFN001
MAGEF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MIREA ASSET VIỆT NAM,1.75,2019-07-22,18553.96,0.71,8.83,85.54,10.96,17.97,12.18,8.03,34.12,37.29,11.14,2025-07-15,35,MAGEF,MAGEFN001
