stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
TCB,Ngân hàng,8.09,STOCK,2025-07-07,28,DCDS
STB,Ngân hàng,7.44,STOCK,2025-07-07,28,DCDS
CTG,Ngân hàng,6.74,STOCK,2025-07-07,28,DCDS
MWG,Bán lẻ,6.24,STOCK,2025-07-07,28,DCDS
VHM,Bất động sản,5.68,STOCK,2025-07-07,28,DCDS
MBB,Ngân hàng,4.16,STOCK,2025-07-07,28,DCDS
FPT,Công nghệ và thông tin,4.0,STOCK,2025-07-07,28,DCDS
HPG,Vật liệu xây dựng,3.98,STOCK,2025-07-07,28,DCDS
VIC,Bất động sản,3.37,STOCK,2025-07-07,28,DCDS
EIB,Ngân hàng,2.91,STOCK,2025-07-07,28,DCDS
