date,nav_per_unit,short_name
2018-01-12,10000.0,VNDAF
2018-01-18,10232.05,VNDAF
2018-01-25,10700.74,VNDAF
2018-02-01,10495.83,VNDAF
2018-02-08,10125.29,VNDAF
2018-02-15,10544.36,VNDAF
2018-02-22,10638.87,VNDAF
2018-03-01,10961.58,VNDAF
2018-03-08,11065.99,VNDAF
2018-03-15,11279.87,VNDAF
2018-03-22,11407.71,VNDAF
2018-03-29,11123.11,VNDAF
2018-04-05,11255.95,VNDAF
2018-04-12,11215.44,VNDAF
2018-04-19,11164.76,VNDAF
2018-04-26,11032.49,VNDAF
2018-04-27,10897.4,VNDAF
2018-05-03,10704.83,VNDAF
2018-05-10,10825.38,VNDAF
2018-05-17,10845.6,VNDAF
2018-05-24,10201.32,VNDAF
2018-05-31,9969.75,VNDAF
2018-06-07,10725.93,VNDAF
2018-06-14,10562.92,VNDAF
2018-06-21,10015.78,VNDAF
2018-06-28,9822.93,VNDAF
2018-07-05,9242.59,VNDAF
2018-07-12,9046.56,VNDAF
2018-07-19,9488.93,VNDAF
2018-07-26,9245.09,VNDAF
2018-08-02,9570.05,VNDAF
2018-08-09,9640.92,VNDAF
2018-08-16,9643.29,VNDAF
2018-08-23,9729.94,VNDAF
2018-08-30,9893.76,VNDAF
2018-09-06,9658.53,VNDAF
2018-09-13,9730.23,VNDAF
2018-09-20,9888.41,VNDAF
2018-09-27,10001.3,VNDAF
2018-10-04,9993.41,VNDAF
2018-10-11,9960.88,VNDAF
2018-10-18,9899.33,VNDAF
2018-10-25,9758.66,VNDAF
2018-11-01,9869.2,VNDAF
2018-11-08,9848.86,VNDAF
2018-11-15,9713.65,VNDAF
2018-11-22,9867.47,VNDAF
2018-11-29,9860.34,VNDAF
2018-12-06,9885.32,VNDAF
2018-12-13,9854.81,VNDAF
2018-12-20,9646.95,VNDAF
2018-12-27,9618.63,VNDAF
2019-01-03,9636.05,VNDAF
2019-01-10,9617.0,VNDAF
2019-01-17,9620.28,VNDAF
