stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
CTG,Ngân hàng,5.23,STOCK,2025-07-07,71,MAFBAL
HPG,Vật liệu xây dựng,4.2,STOCK,2025-07-07,71,MAFBAL
MBB,Ngân hàng,4.15,STOCK,2025-07-07,71,MAFBAL
FPT,Công nghệ và thông tin,3.14,STOCK,2025-07-07,71,MAFBAL
TCB,Ngân hàng,3.12,STOCK,2025-07-07,71,MAFBAL
MWG,Bán lẻ,2.49,STOCK,2025-07-07,71,MAFBAL
MSN123010,Thực phẩm - Đồ uống,5.32,BOND,2025-07-07,71,MAFBAL
VHM121025,Bất động sản,4.6,BOND,2025-07-07,71,MAFBAL
VIC124005,Bất động sản,4.41,BOND,2025-07-07,71,MAFBAL
VIC124004,Bất động sản,2.92,BOND,2025-07-07,71,MAFBAL
