industry,net_asset_percent,short_name
Ngân hàng,34.99,VCBF-BCF
Công nghệ và thông tin,9.93,VCBF-BCF
Bất động sản,8.64,VCBF-BCF
Thực phẩm - Đồ uống,8.55,VCBF-BCF
Bán lẻ,6.06,VCBF-BCF
Sản xuất Phụ trợ,5.6,VCBF-BCF
Tiện ích,5.25,VCBF-BCF
Vận tải - Kho bãi,4.73,VCBF-BCF
Vật liệu xây dựng,4.5,VCBF-BCF
Chứng khoán,2.42,VCBF-BCF
Khai khoáng,2.39,VCBF-BCF
Bảo hiểm,2.34,VCBF-BCF
Xây dựng,2.06,VCBF-BCF
Thiết bị điện,1.03,VCBF-BCF
