industry,net_asset_percent,short_name
Ngân hàng,21.54,VCBF-TBF
Thực phẩm - Đồ uống,12.32,VCBF-TBF
Bất động sản,11.73,VCBF-TBF
Công nghệ và thông tin,6.44,VCBF-TBF
Khác,4.0,VCBF-TBF
Bán lẻ,3.88,VCBF-TBF
Sản xuất Phụ trợ,3.81,VCBF-TBF
Tiện ích,3.77,VCBF-TBF
Vật liệu xây dựng,2.91,VCBF-TBF
Vận tải - Kho bãi,2.9,VCBF-TBF
Sản xuất Hàng gia dụng,2.15,VCBF-TBF
Xây dựng,1.83,VCBF-TBF
Bảo hiểm,1.77,VCBF-TBF
Chứng khoán,1.19,VCBF-TBF
Khai khoáng,1.18,VCBF-TBF
Sản xuất Nhựa - Hóa chất,0.92,VCBF-TBF
Thiết bị điện,0.7,VCBF-TBF
