stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
FPT,Công nghệ và thông tin,11.79,STOCK,2025-07-07,14,BVPF
ACB,Ngân hàng,11.62,STOCK,2025-07-07,14,BVPF
QTP,Tiện ích,7.35,STOCK,2025-07-07,14,BVPF
MBB,Ngân hàng,5.91,STOCK,2025-07-07,14,BVPF
TCB,Ngân hàng,5.1,STOCK,2025-07-07,14,BVPF
CTG,Ngân hàng,4.63,STOCK,2025-07-07,14,BVPF
HPG,Vật liệu xây dựng,4.47,STOCK,2025-07-07,14,BVPF
ND2,Xây dựng,4.24,STOCK,2025-07-07,14,BVPF
MWG,Bán lẻ,4.2,STOCK,2025-07-07,14,BVPF
IJC,Bất động sản,4.14,STOCK,2025-07-07,14,BVPF
