stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
TCB,Ngân hàng,7.85,STOCK,2025-07-04,11,SSISCA
CTG,Ngân hàng,6.93,STOCK,2025-07-04,11,SSISCA
MBB,Ngân hàng,6.9,STOCK,2025-07-04,11,SSISCA
STB,Ngân hàng,5.11,STOCK,2025-07-04,11,SSISCA
FPT,Công nghệ và thông tin,5.05,STOCK,2025-07-04,11,SSISCA
HPG,Vật liệu xây dựng,4.93,STOCK,2025-07-04,11,SSISCA
MWG,Bán lẻ,4.8,STOCK,2025-07-04,11,SSISCA
REE,Thiết bị điện,4.71,STOCK,2025-07-04,11,SSISCA
ACB,Ngân hàng,4.64,STOCK,2025-07-04,11,SSISCA
VCB,Ngân hàng,4.15,STOCK,2025-07-04,11,SSISCA
