industry,net_asset_percent,short_name
Bất động sản,30.62,VCAMDF
Vận tải - Kho bãi,12.39,VCAMDF
Xây dựng,10.28,VCAMDF
Ngân hàng,6.18,VCAMDF
Sản xuất Phụ trợ,3.89,VCAMDF
Chứng khoán,3.67,VCAMDF
Công nghệ và thông tin,3.41,VCAMDF
Vật liệu xây dựng,3.37,VCAMDF
Sản xuất Hàng gia dụng,3.35,VCAMDF
Dệt may,3.07,VCAMDF
Tiện ích,2.67,VCAMDF
