industry,net_asset_percent,short_name
Ngân hàng,20.01,VIBF
Bất động sản,6.61,VIBF
Khác,4.4,VIBF
Vật liệu xây dựng,4.2,VIBF
Thực phẩm - Đồ uống,3.4,VIBF
Khai khoáng,2.89,VIBF
"Sản xuất Thiết bị, máy móc",2.87,VIBF
Tiện ích,2.76,VIBF
Vận tải - Kho bãi,2.72,VIBF
Bán lẻ,2.55,VIBF
Công nghệ và thông tin,2.54,VIBF
Sản xuất Nhựa - Hóa chất,2.4,VIBF
Chứng khoán,2.29,VIBF
Nông - Lâm - Ngư,1.83,VIBF
Xây dựng,1.0,VIBF
