industry,net_asset_percent,short_name
Ngân hàng,35.58,SSISCA
Bất động sản,12.61,SSISCA
Công nghệ và thông tin,5.05,SSISCA
Vật liệu xây dựng,4.93,SSISCA
Bán lẻ,4.8,SSISCA
Thiết bị điện,4.71,SSISCA
"Sản xuất Thiết bị, máy móc",3.64,SSISCA
Sản xuất Phụ trợ,3.57,SSISCA
Sản xuất Nhựa - Hóa chất,3.39,SSISCA
Thực phẩm - Đồ uống,2.96,SSISCA
Chứng khoán,2.88,SSISCA
Tiện ích,2.73,SSISCA
Khai khoáng,2.39,SSISCA
Vận tải - Kho bãi,2.37,SSISCA
