stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,6.98,STOCK,2025-07-07,38,VNDAF
VPB,Ngân hàng,5.94,STOCK,2025-07-07,38,VNDAF
GAS,Tiện ích,4.88,STOCK,2025-07-07,38,VNDAF
PVS,Khai khoáng,4.84,STOCK,2025-07-07,38,VNDAF
TCB,Ngân hàng,4.64,STOCK,2025-07-07,38,VNDAF
HPG,Vật liệu xây dựng,4.43,STOCK,2025-07-07,38,VNDAF
MWG,Bán lẻ,4.17,STOCK,2025-07-07,38,VNDAF
STB,Ngân hàng,4.0,STOCK,2025-07-07,38,VNDAF
PNJ,Sản xuất Phụ trợ,3.89,STOCK,2025-07-07,38,VNDAF
VCB,Ngân hàng,3.86,STOCK,2025-07-07,38,VNDAF
