stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
ACB,Ngân hàng,6.58,STOCK,2025-07-07,29,DCAF
FPT,Công nghệ và thông tin,5.93,STOCK,2025-07-07,29,DCAF
VCB,Ngân hàng,5.85,STOCK,2025-07-07,29,DCAF
TCB,Ngân hàng,5.27,STOCK,2025-07-07,29,DCAF
MBB,Ngân hàng,4.77,STOCK,2025-07-07,29,DCAF
REE,Thiết bị điện,4.53,STOCK,2025-07-07,29,DCAF
CTG,Ngân hàng,4.28,STOCK,2025-07-07,29,DCAF
HPG,Vật liệu xây dựng,4.2,STOCK,2025-07-07,29,DCAF
BID,Ngân hàng,4.08,STOCK,2025-07-07,29,DCAF
STB,Ngân hàng,3.9,STOCK,2025-07-07,29,DCAF
