stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
HPG,Vật liệu xây dựng,3.61,STOCK,2025-07-07,61,PBIF
PVT,Vận tải - Kho bãi,3.33,STOCK,2025-07-07,61,PBIF
ACB,Ngân hàng,2.98,STOCK,2025-07-07,61,PBIF
HDB,Ngân hàng,2.64,STOCK,2025-07-07,61,PBIF
CTD,Xây dựng,2.58,STOCK,2025-07-07,61,PBIF
FPT,Công nghệ và thông tin,2.38,STOCK,2025-07-07,61,PBIF
BWE,Tiện ích,2.24,STOCK,2025-07-07,61,PBIF
VPB,Ngân hàng,2.24,STOCK,2025-07-07,61,PBIF
MBB,Ngân hàng,2.08,STOCK,2025-07-07,61,PBIF
SBT12401,Thực phẩm - Đồ uống,5.37,BOND,2025-07-07,61,PBIF
