industry,net_asset_percent,short_name
Ngân hàng,27.26,BVPF
Công nghệ và thông tin,11.79,BVPF
Bất động sản,8.21,BVPF
Xây dựng,7.44,BVPF
Tiện ích,7.35,BVPF
Vật liệu xây dựng,4.47,BVPF
Bán lẻ,4.2,BVPF
"Sản xuất Thiết bị, máy móc",3.69,BVPF
Sản xuất Phụ trợ,3.57,BVPF
Thực phẩm - Đồ uống,3.21,BVPF
Bán buôn,2.64,BVPF
Sản xuất Hàng gia dụng,2.5,BVPF
