stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
HPG,Vật liệu xây dựng,8.47,STOCK,2025-07-04,35,MAGEF
CTG,Ngân hàng,8.22,STOCK,2025-07-04,35,MAGEF
TCB,Ngân hàng,7.5,STOCK,2025-07-04,35,MAGEF
MBB,Ngân hàng,5.62,STOCK,2025-07-04,35,MAGEF
FUEKIVFS,Khác,5.44,STOCK,2025-07-04,35,MAGEF
STB,Ngân hàng,4.7,STOCK,2025-07-04,35,MAGEF
MWG,Bán lẻ,4.53,STOCK,2025-07-04,35,MAGEF
NLG,Bất động sản,4.29,STOCK,2025-07-04,35,MAGEF
ACB,Ngân hàng,4.26,STOCK,2025-07-04,35,MAGEF
VIC,Bất động sản,3.84,STOCK,2025-07-04,35,MAGEF
